titulo;lengua;ubicacion
NACIONALIDAD  TSÃ^CHILA;Tsa´Fiki;SANTO DOMINGO DE LOS TSÃ^CHILAS 
PUEBLO AFROECUATORIANO;Castellano;REGIÓN COSTA / REGIÓN SIERRA / REGIÓN AMAZONÍA
NACIONALIDAD EPERARA;SIAPEDEE;ESMERALDAS
NACIONALIDAD CHACHI;Cha´palaa;ESMERALDAS
NACIONALIDAD AWÃ;Awapít;ESMERALDAS / CARCHI  / IMBABURA / SUCUMBÍOS
NACIONALIDAD A´I KOFÃN;A´Ingae;SUCUMBÍOS
NACIONALIDAD KICHWA ANDINO;Kichwa;CARCHI  / IMBABURA  / PICHINCHA  / COTOPAXI  / TUNGURAHUA  / BOLÍVAR  / CHIMBORAZO  / CAÑAR  / AZUAY 
PUEBLO KICHWA AMAZÓNICO;Kichwa;PASTAZA  / NAPO  / SUCUMBÍOS / ORELLANA
NACIONALIDAD SHUAR;Shuar Chicham;PASTAZA  / MORONA / SANTIAGO  / ORELLANA / SUCUMBÍOS  / ZAMORA CHINCHIPE
NACIONALIDAD SIONA;Bai Coca;SUCUMBÍOS
NACIONALIDAD SIEKOPAAI;Paaikoka;SUCUMBÍOS
NACIONALIDAD SHIWIAR;Shiwiar Chicham;PASTAZA
NACIONALIDAD WAODANI;Waotededo;PASTAZA  / NAPO  / ORELLANA
NACIONALIDAD ACHUAR;Achuar Chicham;PASTAZA / MORONA SANTIAGO
NACIONALIDAD ANDWA;Katsakati;PASTAZA
NACIONALIDAD SAPARA;Atupama Sapara;PASTAZA
NACIONALIDAD KICHWA;Kichwa;ECUADOR
